case_id,Assessor_SR_Case,Assessor_SR,Assessor_SR_date,Int_name,Int_classification,Int_activities,specified_forest_resources,Access,Withdrawal,Management,Exclusion,Alienation,TenureGradient,Name.of.intended.beneficiary,Intended_beneficiary,OutcomeDirection_income,OutcomeDirection_assets,Int_type.tenure,Int_type.participation,Int_Participation.Notes,Study_type.qualitative,Statisitical.method.Notes,method,quality_method,How.was.the.sample.chosen.,Int_start_yr,Int_end_yr,Yr_outcome_Measured,aid,stated_mech,Author,Year,Title,Study_Country,International funded (0/1),Domestic funded (0/1),Mix funded (0/1),Funding,Impl-Fund_Notes
11,KN,Samantha Forrest and Katia Nakamura,43451,CB Managed fisheries,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,None specified,1,1,1,1,0,Access+Withdrawal+Management+Exclusion,Households in Isla Costa Rica with managed custodia,Community,Positive,Positive,1,0,N/A,1,comparison of means test and one-way ANOVA,0,Qualitative,random,2000,Not Stated,2009-2010,32,0,Beitl CM,2011,Cockles in custody: The role of common property arrangements in the ecological sustainability of mangrove fisheries on the Ecuadorian coast,Costa Rica,0,1,0,Domestic,Does not say
12,KN,Samantha Forrest and Katia Nakamura,43451,CB Open fishery,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,None specified,1,1,0,0,0,Access+Withdrawal,Households in Isla Costa Rica with open access custodia,Community,Positive,Positive,1,0,N/A,1,comparison of means test and one-way ANOVA,0,Qualitative,random,2000,Not Stated,2009-2010,32,0,Beitl CM,2011,Cockles in custody: The role of common property arrangements in the ecological sustainability of mangrove fisheries on the Ecuadorian coast,Costa Rica,0,1,0,Domestic,Does not say
22,KN,Samantha Forrest,43490,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,0,0,0,Access+Withdrawal,Farmers in Ca Mau,Community,Mixed,Mixed,1,0,N/A,1,Cross tabulation and ANOVA analysis,0,Qualitative,Not Stated,1993,On going at time of study,,78,0,"Ha TTP, van Dijk H, Visser L",2014,"Impacts of changes in mangrove forest management practices on forest accessibility and livelihood: A case study in mangrove-shrimp farming system in Ca Mau Province, Mekong Delta, Vietnam",Viet Nam,0,1,0,Domestic,Does not say
85,KN,KN,43464,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,0,0,0,Access+Withdrawal,Communities in Tanzania sampled,Community,NA,Mixed,1,0,N/A,0,Difference-indifferences,1,Quasi-experimental,"20 clusters within each region of Tanzania, and 18 households are surveyed within each cluster","1991 in practice, but 1998 and 2002 through forest policy and forest act",not stated,"2010 for children, 2011-12 adults",206,0,"Pailler S, Naidoo R, Burgess ND, Freeman OE, Fisher B",2015,"Impacts of Community-Based Natural Resource Management on Wealth, Food Security and Child Health in Tanzania",Tanzania,1,0,0,International,"Does not say specifically for this one. Because official designation is a lengthy, bureaucratic, resource-intensive process, generally financed and facilitated by international organizations, there are many CBNRM areas that are “in process”, not yet officially signed or registered "
30,KN,Samantha Forrest,43492,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Minor forest produce,1,1,0,0,0,Access+Withdrawal,Households in Liwonde forest reserve,Community,Negative,NA,1,0,N/A,0,"Propensity Score Matching: nearest neighbor, radius, kernel, stratification matching,",1,Quasi-experimental,randomly selected,1996,Ongoing at time of study,2002,95,0,"Jumbe C, Angelsen A",2006,Do the Poor Benefit from Devolution Policies? Evidence from Malawi's Forest Co-Management Program,Malawi,1,0,0,International,World Bank and British Government
29,KN,Samantha Forrest,43492,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Minor forest produce,1,1,0,0,0,Access+Withdrawal,Households in the Chimaliro forest reserve,Community,Positive,NA,1,0,N/A,0,"Propensity Score Matching: nearest neighbor, radius, kernel, stratification matching,",1,Quasi-experimental,randomly selected,1996,Ongoing at time of study,2002,95,0,"Jumbe C, Angelsen A",2006,Do the Poor Benefit from Devolution Policies? Evidence from Malawi's Forest Co-Management Program,Malawi,1,0,0,International,World Bank and British Government
24,KN,Samantha Forrest,43497,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,None specified,1,1,1,0,0,Access+Withdrawal+Management,Households participating in Community Based Forest Management in Barangay Buenavista,Community,Mixed,Mixed,1,0,N/A,1,"summary statistics including frequencies, means and percentages were calculated along with analysis of land changes using ArcGIS,",0,Qualitative,Not Stated,1998,Not Stated,2013-2014,84,0,"Hashiguchi H, Pulhin JM, Dizon JT, Camacho LD",2016,"Impacts of Community-Based Forest Management
Policies Implemented by a Local Forest Institution:
A Case Study from Bayombong, Nueva Vizcaya,
Philippines",Philippines,1,0,0,International,Several forest management projects have been conducted within the CBFM site. These have included the ITTO-DENR project implemented from 1995 to 2001 and funded by the International Tropical Timber Organization (ITTO) in collaboration with the Philippine Department of Environment and Natural Resources (DENR). 
65,KN,KN,43480,CBFM,"Devolution of forest/ property rights from government to community, private and other actors",One or several of bundle of rights devolved to households and communities,Land,1,1,1,0,0,Access+Withdrawal+Management,Fokontany of Iambara communities,Community,Mixed,NA,1,0,N/A,1,multiple correspondence analysis,0,Qualitative,"purposively, not random",2003,not stated,not stated,153,0,"Toillier A, Serpantie G, Herve D, Lardon S",2011,Livelihood Strategies and Land Use Changes in Response to Conservation: Pitfalls of Community-Based Forest Management in Madagascar,Madagascar,1,0,0,International,"In the study area, the main interventions for development and conser- vation were led by a project of the United State Agency for International Development (USAID). "
67,KN,KN,43480,CBFM,"Administration of tenure through recordkeeping, taxation, spatial planning and other means",Hectares distributed,Land,1,1,1,0,0,Access+Withdrawal+Management,Sapang Bato-Sitio target,Community,Negative,Positive,1,0,N/A,0,t test,0,Qualitative,random households or targeted groups,1998,not stated,2011-2014,160,Resilience,"Jarzebski MP, Tumilba V, Yamamoto H",2016,Application of a tri-capital community resilience framework for assessing the social_ecological system sustainability of community-based forest management in the Philippines,Phillippines,0,1,0,Domestic,Does not say
68,KN,KN,43480,CBFM,"Administration of tenure through recordkeeping, taxation, spatial planning and other means",Hectares distributed,Land,1,1,1,0,0,Access+Withdrawal+Management,Alangan,Community,Negative,Positive,1,0,N/A,0,t test,0,Qualitative,random households or targeted groups,1996,not stated,2011-2014,160,Resilience,"Jarzebski MP, Tumilba V, Yamamoto H",2016,Application of a tri-capital community resilience framework for assessing the social_ecological system sustainability of community-based forest management in the Philippines,Phillippines,0,1,0,Domestic,Does not say
